Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
20, 8, 8, 8, 64, 14.7441, 20.7703, N/A, 0.338859, 0.338867, 1.18893e+06, 14.3549, 8, 128, 0.125, 1, 1, 1, 57.925, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 8, 64, 14.7441, 20.7703, N/A, 0.338859, 0.338867, 1.18893e+06, 14.3549, 8, 128, 0.125, 1, 1, 1, 57.9155, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 8, 64, 14.7441, 20.7703, N/A, 0.338859, 0.338867, 1.18893e+06, 14.3549, 8, 128, 0.125, 1, 1, 1, 57.9213, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 8, 64, 14.7441, 20.7703, N/A, 0.338859, 0.338867, 1.18893e+06, 14.3549, 8, 128, 0.125, 1, 1, 1, 57.925, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
50, 8, 8, 1, 64, 22.4836, 70.1081, N/A, 1.08774, 1.08775, 0.0177807, 60.7315, 16, 32, 1, 1, 1, 1, 61.2235, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
50, 8, 8, 1, 64, 22.4836, 70.1081, N/A, 1.08774, 1.08775, 0.0177807, 60.7315, 16, 32, 1, 1, 1, 1, 61.2235, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
50, 8, 8, 1, 64, 22.4836, 70.1081, N/A, 1.08774, 1.08775, 0.0177807, 60.7315, 16, 32, 1, 1, 1, 1, 61.2235, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
50, 8, 8, 1, 64, 22.4836, 70.1081, N/A, 1.08774, 1.08775, 0.0177807, 60.7315, 16, 32, 1, 1, 1, 1, 61.2235, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 1, 64, 14.6163, 36.3123, N/A, 0.285666, 0.28567, 0.0614656, 8.35625, 16, 32, 1, 1, 1, 1, 55.9726, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 1, 64, 14.6163, 36.3123, N/A, 0.285666, 0.28567, 0.0614656, 8.35625, 16, 32, 1, 1, 1, 1, 55.8744, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 1, 1024, 24.2027, 35.6185, N/A, 6.41764, 6.41811, -92386.2, 28.3328, 16, 16, 1, 1, 1, 1, 7.03082, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 1, 1024, 24.2027, 35.6185, N/A, 6.41764, 6.41811, -92386.2, 28.3328, 16, 16, 1, 1, 1, 1, 7.03082, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 1, 1024, 24.2027, 35.6185, N/A, 6.41764, 6.41811, -92386.2, 28.3328, 16, 16, 1, 1, 1, 1, 7.03082, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 64, 16, 1, 1024, 26.1417, 37.065, N/A, 11.7917, 11.7922, -599472, 96.1483, 16, 64, 1, 1, 1, 1, 17.0771, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 64, 16, 1, 1024, 26.1417, 37.065, N/A, 11.7917, 11.7922, -599472, 96.1483, 16, 64, 1, 1, 1, 1, 17.0771, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
20, 8, 8, 1, 1024, 24.2027, 35.6185, N/A, 6.41764, 6.41811, -92386.2, 28.3328, 16, 16, 1, 1, 1, 1, 7.03082, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
